student_id,grade,gender,attendance_pct,weekly_study_hours,reading_score,math_score,english_score,science_score,overall_score,performance_band
STU1001,Grade 7,Female,66.3,5.7,71.8,63.5,77.5,58.6,67.9,Developing
STU1002,Grade 8,Male,85.4,7.6,84.4,77.7,74.0,75.0,77.8,Proficient
STU1003,Grade 6,Male,81.3,6.8,73.8,74.1,73.7,76.4,74.5,Proficient
STU1004,Grade 8,Female,83.6,4.7,74.1,76.4,73.9,57.5,70.5,Proficient
STU1005,Grade 8,Female,82.7,9.8,79.0,84.9,72.4,75.7,78.0,Proficient
STU1006,Grade 5,Male,93.9,8.0,82.7,83.3,77.4,69.5,78.2,Proficient
STU1007,Grade 6,Male,86.8,5.8,65.8,97.9,80.5,83.7,82.0,Advanced
STU1008,Grade 6,Female,88.1,10.3,98.0,82.5,88.2,92.3,90.2,Advanced
STU1009,Grade 6,Female,75.3,5.9,66.7,90.4,76.6,57.3,72.8,Proficient
STU1010,Grade 8,Male,59.1,4.3,62.1,63.2,53.6,62.1,60.2,Developing
STU1011,Grade 7,Male,95.0,7.4,74.5,74.7,77.0,84.3,77.6,Proficient
STU1012,Grade 6,Female,100.0,7.8,88.1,74.2,77.8,84.4,81.1,Advanced
STU1013,Grade 9,Female,83.3,8.2,77.3,87.4,80.3,73.6,79.6,Proficient
STU1014,Grade 8,Male,88.0,8.5,73.2,90.6,81.6,86.6,83.0,Advanced
STU1015,Grade 5,Female,88.6,8.1,85.7,80.6,79.6,66.1,78.0,Proficient
STU1016,Grade 7,Male,99.4,8.0,89.8,88.1,99.0,74.4,87.8,Advanced
STU1017,Grade 9,Male,93.1,5.7,77.2,60.1,73.0,63.1,68.4,Developing
STU1018,Grade 9,Male,90.0,5.5,71.0,56.4,70.7,76.7,68.7,Developing
STU1019,Grade 5,Male,86.4,8.6,98.0,86.8,69.4,69.4,80.9,Advanced
STU1020,Grade 7,Female,86.5,7.5,81.5,72.3,64.3,71.0,72.3,Proficient
STU1021,Grade 8,Male,74.5,8.8,67.1,79.5,65.7,77.1,72.4,Proficient
STU1022,Grade 4,Male,82.9,3.2,81.7,57.4,62.1,69.7,67.7,Developing
STU1023,Grade 7,Female,93.1,5.9,71.1,86.8,86.1,63.1,76.8,Proficient
STU1024,Grade 5,Female,84.1,11.2,98.0,66.2,82.9,88.3,83.8,Advanced
STU1025,Grade 9,Male,86.4,8.2,80.5,62.3,79.4,77.9,75.0,Proficient
STU1026,Grade 8,Male,76.6,7.7,84.1,84.0,73.2,60.2,75.4,Proficient
STU1027,Grade 7,Female,89.6,8.6,64.8,52.8,82.3,63.4,65.8,Developing
STU1028,Grade 4,Male,74.3,11.9,72.2,82.2,92.1,77.2,80.9,Advanced
STU1029,Grade 4,Male,88.3,11.4,96.5,80.7,68.2,88.0,83.4,Advanced
STU1030,Grade 6,Male,84.5,3.5,73.9,58.2,78.6,72.2,70.7,Proficient
STU1031,Grade 6,Male,72.1,4.3,85.3,61.3,46.6,65.6,64.7,Developing
STU1032,Grade 5,Female,94.6,3.5,78.1,59.8,71.9,67.5,69.3,Developing
STU1033,Grade 7,Female,84.7,5.4,75.7,82.5,89.7,72.5,80.1,Advanced
STU1034,Grade 7,Male,100.0,7.1,95.8,92.5,85.3,67.8,85.4,Advanced
STU1035,Grade 9,Male,97.8,7.5,90.2,70.3,82.9,90.9,83.6,Advanced
STU1036,Grade 9,Male,79.0,3.6,68.3,66.1,83.5,78.1,74.0,Proficient
STU1037,Grade 9,Female,79.7,2.9,60.1,50.4,60.7,65.7,59.2,Basic
STU1038,Grade 6,Male,76.6,5.3,53.1,76.0,73.3,67.3,67.4,Developing
STU1039,Grade 7,Male,73.3,9.0,73.8,82.2,80.1,68.0,76.0,Proficient
STU1040,Grade 7,Male,82.6,9.4,71.3,73.4,74.7,79.8,74.8,Proficient
STU1041,Grade 4,Male,97.5,10.8,98.0,83.0,82.2,75.5,84.7,Advanced
STU1042,Grade 6,Male,70.7,6.9,67.8,67.1,66.6,46.9,62.1,Developing
STU1043,Grade 8,Male,92.8,8.8,77.4,63.1,81.5,52.3,68.6,Developing
STU1044,Grade 6,Female,92.1,9.2,71.2,92.2,85.7,70.1,79.8,Proficient
STU1045,Grade 8,Male,90.4,5.9,75.0,64.3,75.8,72.0,71.8,Proficient
STU1046,Grade 4,Male,91.9,7.9,75.6,68.7,84.5,77.6,76.6,Proficient
STU1047,Grade 5,Female,77.2,8.4,91.4,71.4,59.8,67.3,72.5,Proficient
STU1048,Grade 7,Female,92.1,5.0,77.5,78.8,72.0,70.6,74.7,Proficient
STU1049,Grade 4,Female,81.6,10.6,82.5,72.9,72.6,74.5,75.6,Proficient
STU1050,Grade 7,Female,66.3,6.9,70.6,49.2,72.1,56.7,62.1,Developing
STU1051,Grade 9,Male,86.5,7.2,84.5,64.7,78.3,71.4,74.7,Proficient
STU1052,Grade 5,Female,79.2,4.9,68.5,70.0,68.9,72.8,70.0,Proficient
STU1053,Grade 5,Female,96.9,5.3,83.4,91.4,79.7,62.6,79.3,Proficient
STU1054,Grade 4,Female,83.7,2.2,81.7,50.6,74.2,53.0,64.9,Developing
STU1055,Grade 5,Female,86.4,7.1,81.7,60.9,75.4,62.1,70.0,Proficient
STU1056,Grade 8,Female,89.1,12.5,86.0,70.5,78.0,65.3,75.0,Proficient
STU1057,Grade 5,Male,83.9,4.8,65.6,52.4,58.2,62.2,59.6,Basic
STU1058,Grade 7,Male,85.2,13.5,86.4,95.9,87.4,90.0,89.9,Advanced
STU1059,Grade 7,Female,92.7,10.1,89.5,93.7,85.0,80.7,87.2,Advanced
STU1060,Grade 7,Male,77.5,6.0,61.1,69.4,63.4,65.5,64.8,Developing
STU1061,Grade 7,Female,80.4,7.1,82.8,66.6,79.8,71.1,75.1,Proficient
STU1062,Grade 8,Male,78.3,6.7,76.5,85.7,69.1,64.2,73.9,Proficient
STU1063,Grade 6,Female,97.5,10.8,86.3,84.4,72.4,64.2,76.8,Proficient
STU1064,Grade 9,Male,80.4,8.1,72.7,82.8,86.0,79.0,80.1,Advanced
STU1065,Grade 4,Male,84.9,9.6,78.0,72.5,89.0,85.6,81.3,Advanced
STU1066,Grade 7,Female,81.2,7.8,82.4,72.9,59.4,65.0,69.9,Developing
STU1067,Grade 5,Male,83.5,6.8,75.5,59.9,69.9,68.9,68.6,Developing
STU1068,Grade 7,Female,80.1,7.7,73.1,77.7,70.3,69.0,72.5,Proficient
